Citation,PR.ID,Year,ES.ID,CHT.ID,Ecosystem_type,Longitude,Latitude,Study_design,Study,Continent,Region,Country,Climate,Source,Variable,Impact_type,Level_ecological_organization,Invader_1,Invader_2,Interacting_taxon,Trohic_level,nI1,mI1,sdI1,nI2,mI2,sdI2,nI1_I2,mI1_I2,sdI1_I2,nC,mC,sdC,num_shared_control,N_control_sc
"Braga et al. 2020. Hydrobiologia, 847: 1603–1618",PUB01,2020,11,CHT02,Unknown,-64.9382262,-26.8797391,Experimental,Aquatic,Southern America,Upper Parana´ River floodplain,Brazil,NA,Supplementary Figure 6,Dissolved oxygen,Dissolved oxygen,Ecosystem,Hydrilla verticilatta,Astronotus crassipinnis,Plant-Animal,Producer-Consumer,5,7.31,0.47,5,7.2,0.68,5,7.03,1.06,5,7.59,0.36,3,1.666666667
"Braga et al. 2020. Hydrobiologia, 847: 1603–1618",PUB01,2020,12,CHT03,Unknown,-64.9382262,-26.8797391,Experimental,Aquatic,Southern America,Upper Parana´ River floodplain,Brazil,NA,Supplementary Figure 6,Dissolved oxygen,Dissolved oxygen,Ecosystem,Astronotus crassipinnis,Limnoperna fortunei,Animal-Animal,Consumer-Consumer,5,7.2,0.68,5,6.53,0.49,5,6.36,0.52,5,7.59,0.36,3,1.666666667
"Braga et al. 2020. Hydrobiologia, 847: 1603–1618",PUB01,2020,13,CHT01,Unknown,-64.9382262,-26.8797391,Experimental,Aquatic,Southern America,Upper Parana´ River floodplain,Brazil,NA,Supplementary Figure 6,Chlorophyll a,Plant production,Community,Hydrilla verticilatta,Limnoperna fortunei,Plant-Animal,Producer-Consumer,5,0.16,0.26,5,0.32,0.29,5,0.11,0.14,5,0.25,0.28,3,1.666666667
"Braga et al. 2020. Hydrobiologia, 847: 1603–1618",PUB01,2020,14,CHT02,Unknown,-64.9382262,-26.8797391,Experimental,Aquatic,Southern America,Upper Parana´ River floodplain,Brazil,NA,Supplementary Figure 6,Chlorophyll a,Plant production,Community,Hydrilla verticilatta,Astronotus crassipinnis,Plant-Animal,Producer-Consumer,5,0.16,0.26,5,0.05,0.12,5,0.21,0.13,5,0.25,0.28,3,1.666666667
"Braga et al. 2020. Hydrobiologia, 847: 1603–1618",PUB01,2020,15,CHT03,Unknown,-64.9382262,-26.8797391,Experimental,Aquatic,Southern America,Upper Parana´ River floodplain,Brazil,NA,Supplementary Figure 6,Chlorophyll a,Plant production,Community,Astronotus crassipinnis,Limnoperna fortunei,Animal-Animal,Consumer-Consumer,5,0.05,0.12,5,0.32,0.29,5,0.32,0.48,5,0.25,0.28,3,1.666666667
"Braga et al. 2020. Hydrobiologia, 847: 1603–1618",PUB01,2020,16,CHT01,Unknown,-64.9382262,-26.8797391,Experimental,Aquatic,Southern America,Upper Parana´ River floodplain,Brazil,NA,Supplementary Figure 6,Phytoplankton density,Plant abundance,Community,Hydrilla verticilatta,Limnoperna fortunei,Plant-Animal,Producer-Consumer,5,189.4,128.8,5,168.5,131,5,141,87,5,277.5,255.3,3,1.666666667
"Braga et al. 2020. Hydrobiologia, 847: 1603–1618",PUB01,2020,17,CHT02,Unknown,-64.9382262,-26.8797391,Experimental,Aquatic,Southern America,Upper Parana´ River floodplain,Brazil,NA,Supplementary Figure 6,Phytoplankton density,Plant abundance,Community,Hydrilla verticilatta,Astronotus crassipinnis,Plant-Animal,Producer-Consumer,5,189.4,128.8,5,199.3,148.6,5,216.9,275.2,5,277.5,255.3,3,1.666666667
"Braga et al. 2020. Hydrobiologia, 847: 1603–1618",PUB01,2020,18,CHT03,Unknown,-64.9382262,-26.8797391,Experimental,Aquatic,Southern America,Upper Parana´ River floodplain,Brazil,NA,Supplementary Figure 6,Phytoplankton density,Plant abundance,Community,Astronotus crassipinnis,Limnoperna fortunei,Animal-Animal,Consumer-Consumer,5,199.3,148.6,5,168.5,131,5,272,203.6,5,277.5,255.3,3,1.666666667
"Braga et al. 2020. Hydrobiologia, 847: 1603–1618",PUB01,2020,19,CHT01,Unknown,-64.9382262,-26.8797391,Experimental,Aquatic,Southern America,Upper Parana´ River floodplain,Brazil,NA,Supplementary Figure 6,Zooplankton density,Animal abundance,Community,Hydrilla verticilatta,Limnoperna fortunei,Plant-Animal,Producer-Consumer,5,52390,11226,5,25094,9246,5,48868,26415,5,93774,38526,3,1.666666667
"Braga et al. 2020. Hydrobiologia, 847: 1603–1618",PUB01,2020,20,CHT02,Unknown,-64.9382262,-26.8797391,Experimental,Aquatic,Southern America,Upper Parana´ River floodplain,Brazil,NA,Supplementary Figure 6,Zooplankton density,Animal abundance,Community,Hydrilla verticilatta,Astronotus crassipinnis,Plant-Animal,Producer-Consumer,5,52390,11226,5,58774,16949,5,70440,38740,5,93774,38526,3,1.666666667
"Braga et al. 2020. Hydrobiologia, 847: 1603–1618",PUB01,2020,21,CHT03,Unknown,-64.9382262,-26.8797391,Experimental,Aquatic,Southern America,Upper Parana´ River floodplain,Brazil,NA,Supplementary Figure 6,Zooplankton density,Animal abundance,Community,Astronotus crassipinnis,Limnoperna fortunei,Animal-Animal,Consumer-Consumer,5,58774,16949,5,25094,9246,5,29057,10786,5,93774,38526,3,1.666666667
Lenda et al. 2019. Diversity and Distributions 25: 951-962,PUB02,2019,22,CHT04,Agricultural field,19.8647899,50.0466814,Observational,Terrestrial,Europe,Kraków and Tarnów,Poland,NA,Supplementary material ,Soil pH (heterogenous field),pH ,Ecosystem,Juglans regia,Solidago canadensis,Plant-Plant,Producer-Producer,20,5,0.75,20,4.32,0.67,20,4.97,0.78,20,4.45,0.62,1,20
Lenda et al. 2019. Diversity and Distributions 25: 951-962,PUB02,2019,23,CHT04,Agricultural field,19.8647899,50.0466814,Observational,Terrestrial,Europe,Kraków and Tarnów,Poland,NA,Supplementary material ,Soil total nitrogen (heterogenous field),N pools,Ecosystem,Juglans regia,Solidago canadensis,Plant-Plant,Producer-Producer,20,0.18,0.02,20,0.14,0.04,20,0.2,0.02,20,0.15,0.04,1,20
Lenda et al. 2019. Diversity and Distributions 25: 951-962,PUB02,2019,24,CHT04,Agricultural field,19.8647899,50.0466814,Observational,Terrestrial,Europe,Kraków and Tarnów,Poland,NA,Supplementary material ,Soil organic carbon (heterogenous field),C pools,Ecosystem,Juglans regia,Solidago canadensis,Plant-Plant,Producer-Producer,20,1.3,0.62,20,1.36,0.46,20,1.77,0.48,20,1.31,0.39,1,20
Lenda et al. 2019. Diversity and Distributions 25: 951-962,PUB02,2019,25,CHT05,Agricultural field,19.8647899,50.0466814,Observational,Terrestrial,Europe,Kraków and Tarnów,Poland,NA,Supplementary material ,Soil pH (homogenous field),pH ,Ecosystem,Juglans regia,Solidago canadensis,Plant-Plant,Producer-Producer,20,5.19,0.52,20,5.06,0.87,20,5.23,0.69,20,5.3,0.89,1,20
Lenda et al. 2019. Diversity and Distributions 25: 951-962,PUB02,2019,26,CHT05,Agricultural field,19.8647899,50.0466814,Observational,Terrestrial,Europe,Kraków and Tarnów,Poland,NA,Supplementary material ,Soil total nitrogen (homogenous field),N pools,Ecosystem,Juglans regia,Solidago canadensis,Plant-Plant,Producer-Producer,20,0.18,0.03,20,0.14,0.04,20,0.17,0.03,20,0.14,0.06,1,20
Lenda et al. 2019. Diversity and Distributions 25: 951-962,PUB02,2019,27,CHT05,Agricultural field,19.8647899,50.0466814,Observational,Terrestrial,Europe,Kraków and Tarnów,Poland,NA,Supplementary material ,Soil organic carbon (homogenous field),C pools,Ecosystem,Juglans regia,Solidago canadensis,Plant-Plant,Producer-Producer,20,2.01,0.32,20,1.59,0.43,20,1.91,0.39,20,1.6,0.55,1,20
Wei et al. 2020. J. Cent. South Univ. 27: 1790?1801,PUB03,2020,28,CHT06,Unknown,119.3192811,32.1751615,Observational,Terrestrial,Asia-Temperate,"Zhenjiang, China",China,Subtropical,Figure 1a,Sequence number/10m2,Microbial Richness,Community,Erigeron annuus,Solidago canadensis,Plant-Plant,Producer-Producer,3,31.2,2.424871131,3,30.04,1.212435565,3,27.5,1.212435565,3,29.6,4.5033321,2,1.5
Wei et al. 2020. J. Cent. South Univ. 27: 1790?1801,PUB03,2020,29,CHT07,Unknown,119.3192811,32.1751615,Observational,Terrestrial,Asia-Temperate,"Zhenjiang, China",China,Subtropical,Figure 1a,Sequence number/10m2,Microbial Richness,Community,Erigeron annuus,Solidago canadensis,Plant-Plant,Producer-Producer,3,31.2,2.424871131,3,30.04,1.212435565,3,28.3,3.117691454,3,29.6,4.5033321,2,1.5
Wei et al. 2020. J. Cent. South Univ. 27: 1790?1801,PUB03,2020,30,CHT06,Unknown,119.3192811,32.1751615,Observational,Terrestrial,Asia-Temperate,"Zhenjiang, China",China,Subtropical,Figure 1b,OTU richness/10m2,Microbial Richness,Community,Erigeron annuus,Solidago canadensis,Plant-Plant,Producer-Producer,3,10.6,0.346410162,3,10.02,0.883345912,3,10.25,1.056550993,3,7.7,1.385640646,2,1.5
Wei et al. 2020. J. Cent. South Univ. 27: 1790?1801,PUB03,2020,31,CHT07,Unknown,119.3192811,32.1751615,Observational,Terrestrial,Asia-Temperate,"Zhenjiang, China",China,Subtropical,Figure 1b,OTU richness/10m2,Microbial Richness,Community,Erigeron annuus,Solidago canadensis,Plant-Plant,Producer-Producer,3,10.6,0.346410162,3,10.02,0.883345912,3,10.39,0.81406388,3,7.7,1.385640646,2,1.5
Wei et al. 2020. J. Cent. South Univ. 27: 1790?1801,PUB03,2020,32,CHT06,Unknown,119.3192811,32.1751615,Observational,Terrestrial,Asia-Temperate,"Zhenjiang, China",China,Subtropical,Figure 1c,Shannon diversity,Microbial diversity,Community,Erigeron annuus,Solidago canadensis,Plant-Plant,Producer-Producer,3,8.37,0.069282032,3,8.31,0.173205081,3,8.31,0.277128129,3,7.31,0.779422863,2,1.5
Wei et al. 2020. J. Cent. South Univ. 27: 1790?1801,PUB03,2020,33,CHT07,Unknown,119.3192811,32.1751615,Observational,Terrestrial,Asia-Temperate,"Zhenjiang, China",China,Subtropical,Figure 1c,Shannon diversity,Microbial diversity,Community,Erigeron annuus,Solidago canadensis,Plant-Plant,Producer-Producer,3,8.37,0.069282032,3,8.31,0.173205081,3,8.31,0.173205081,3,7.31,0.779422863,2,1.5
Wei et al. 2020. J. Cent. South Univ. 27: 1790?1801,PUB03,2020,34,CHT06,Unknown,119.3192811,32.1751615,Observational,Terrestrial,Asia-Temperate,"Zhenjiang, China",China,Subtropical,Figure 1d,ACE index/10m2,Microbial diversity,Community,Erigeron annuus,Solidago canadensis,Plant-Plant,Producer-Producer,3,38.16,2.199704526,3,40.28,4.624575656,3,47.46,7.066767295,3,29.15,3.204293994,2,1.5
Wei et al. 2020. J. Cent. South Univ. 27: 1790?1801,PUB03,2020,35,CHT07,Unknown,119.3192811,32.1751615,Observational,Terrestrial,Asia-Temperate,"Zhenjiang, China",China,Subtropical,Figure 1d,ACE index/10m2,Microbial diversity,Community,Erigeron annuus,Solidago canadensis,Plant-Plant,Producer-Producer,3,38.16,2.199704526,3,40.28,4.624575656,3,47.25,2.320948082,3,29.15,3.204293994,2,1.5
Wei et al. 2020. J. Cent. South Univ. 27: 1790?1801,PUB03,2020,36,CHT06,Unknown,119.3192811,32.1751615,Observational,Terrestrial,Asia-Temperate,"Zhenjiang, China",China,Subtropical,Figure 1e,Chao1 index/10m,Microbial diversity,Community,Erigeron annuus,Solidago canadensis,Plant-Plant,Producer-Producer,3,24.48,1.108512517,3,24.18,2.736640276,3,27.44,2.736640276,3,18.07,2.268986558,2,1.5
Wei et al. 2020. J. Cent. South Univ. 27: 1790?1801,PUB03,2020,37,CHT07,Unknown,119.3192811,32.1751615,Observational,Terrestrial,Asia-Temperate,"Zhenjiang, China",China,Subtropical,Figure 1e,Chao1 index/10m,Microbial diversity,Community,Erigeron annuus,Solidago canadensis,Plant-Plant,Producer-Producer,3,24.48,1.108512517,3,24.18,2.736640276,3,27.81,0.692820323,3,18.07,2.268986558,2,1.5
Preston et al. 2012. Ecology 93(6): 1254-1261,PUB04,2012,38,CHT08,Wetland,-122.5076404,37.7576793,Experimental,Aquatic,Northern America,"Hopland Research and Extension Center, California, USA",USA,NA,Figure 1a,Percentage survival of Pacific treefrogs,Animal behaviour,Species,Lithobates catesbeianus,Gambusia affinis,Animal-Animal,Consumer-Consumer,5,70.7,10.73312629,5,5.96,4.449775275,5,6.81,3.152855848,5,77.2,7.602631123,1,5
Preston et al. 2012. Ecology 93(6): 1254-1261,PUB04,2012,39,CHT08,Wetland,-122.5076404,37.7576793,Experimental,Aquatic,Northern America,"Hopland Research and Extension Center, California, USA",USA,NA,Figure 1a,Percentage survival of western toads,Animal behaviour,Species,Lithobates catesbeianus,Gambusia affinis,Animal-Animal,Consumer-Consumer,5,91.7,5.813776741,5,86.6,6.260990337,5,88,14.08722826,5,90.3,10.0623059,1,5
Preston et al. 2012. Ecology 93(6): 1254-1261,PUB04,2012,40,CHT08,Wetland,-122.5076404,37.7576793,Experimental,Aquatic,Northern America,"Hopland Research and Extension Center, California, USA",USA,NA,Figure 1a,Percentage survival of California newts ,Animal behaviour,Species,Lithobates catesbeianus,Gambusia affinis,Animal-Animal,Consumer-Consumer,5,97.7,5.142956348,5,8.23,16.47982099,5,4.8,7.98276268,5,95.7,5.590169944,1,5
Preston et al. 2012. Ecology 93(6): 1254-1261,PUB04,2012,41,CHT08,Wetland,-122.5076404,37.7576793,Experimental,Aquatic,Northern America,"Hopland Research and Extension Center, California, USA",USA,NA,Figure 1c,Phytoplankton abundance (phytoplankton fluorescence),Plant abundance,Community,Lithobates catesbeianus,Gambusia affinis,Animal-Animal,Consumer-Consumer,5,12.77,3.756594202,5,29.94,10.08466658,5,27.43,9.838699101,5,297.6,3.041052449,1,5
Preston et al. 2012. Ecology 93(6): 1254-1261,PUB04,2012,42,CHT08,Wetland,-122.5076404,37.7576793,Experimental,Aquatic,Northern America,"Hopland Research and Extension Center, California, USA",USA,NA,Figure 1d,Total nitrogen in water,N pools,Ecosystem,Lithobates catesbeianus,Gambusia affinis,Animal-Animal,Consumer-Consumer,5,547.62,82.82395789,5,746.03,70.99515829,5,865.08,171.5511352,5,613.76,70.97279761,1,5
Preston et al. 2012. Ecology 93(6): 1254-1261,PUB04,2012,43,CHT08,Wetland,-122.5076404,37.7576793,Experimental,Aquatic,Northern America,"Hopland Research and Extension Center, California, USA",USA,NA,Figure 1e,Total phosphorous in water,P pools,Ecosystem,Lithobates catesbeianus,Gambusia affinis,Animal-Animal,Consumer-Consumer,5,21.33,13.19280107,5,21.07,16.68106711,5,36.64,11.42630737,5,18.97,15.22762293,1,5
Preston et al. 2012. Ecology 93(6): 1254-1261,PUB04,2012,44,CHT08,Wetland,-122.5076404,37.7576793,Experimental,Aquatic,Northern America,"Hopland Research and Extension Center, California, USA",USA,NA,Figure 1f,Total carbon in water,C pools,Ecosystem,Lithobates catesbeianus,Gambusia affinis,Animal-Animal,Consumer-Consumer,5,11.57,1.520526225,5,15.28,3.175216528,5,13.71,3.644790803,5,13.4,2.01246118,1,5
Mahla and Mlambo 2019. Tropical Ecology 60: 129–139,PUB05,2019,45,CHT09,Forest,32.3348406,-20.2495169,Observational,Terrestrial,Africa,Chipinge Safari Area,Zimbabwe,Semi-arid,Table 2,Mean plant height (m),Plant growth,Species,Lantana camara,Dichrostachys cinerea,Plant-Plant,Producer-Producer,15,6.7,1.394274005,15,6.8,1.084435337,15,7,1.471733672,15,5.8,1.549193338,1,15
Mahla and Mlambo 2019. Tropical Ecology 60: 129–139,PUB05,2019,46,CHT09,Forest,32.3348406,-20.2495169,Observational,Terrestrial,Africa,Chipinge Safari Area,Zimbabwe,Semi-arid,Table 2,"Mean plant diameter (DBH, cm)",Plant growth,Species,Lantana camara,Dichrostachys cinerea,Plant-Plant,Producer-Producer,15,9.4,2.866007676,15,9.8,3.13711651,15,10.1,3.253306011,15,7.2,2.439979508,1,15
Mahla and Mlambo 2019. Tropical Ecology 60: 129–139,PUB05,2019,47,CHT09,Forest,32.3348406,-20.2495169,Observational,Terrestrial,Africa,Chipinge Safari Area,Zimbabwe,Semi-arid,Table 2,Shrub density (stems ha?1),Plant abundance,Community,Lantana camara,Dichrostachys cinerea,Plant-Plant,Producer-Producer,15,1375,561.5825852,15,1432,73.58668358,15,1317,511.2338017,15,2461,530.5987184,1,15
Mahla and Mlambo 2019. Tropical Ecology 60: 129–139,PUB05,2019,48,CHT09,Forest,32.3348406,-20.2495169,Observational,Terrestrial,Africa,Chipinge Safari Area,Zimbabwe,Semi-arid,Table 2,Tree density (stems ha?1),Plant abundance,Community,Lantana camara,Dichrostachys cinerea,Plant-Plant,Producer-Producer,15,487,302.092701,15,552,259.4898842,15,505,224.6330341,15,878,464.7580015,1,15
Mahla and Mlambo 2019. Tropical Ecology 60: 129–139,PUB05,2019,49,CHT09,Forest,32.3348406,-20.2495169,Observational,Terrestrial,Africa,Chipinge Safari Area,Zimbabwe,Semi-arid,Table 2,Basal area (m2 ha?1),Plant abundance,Community,Lantana camara,Dichrostachys cinerea,Plant-Plant,Producer-Producer,15,6.73,0.580947502,15,7.02,0.735866836,15,7.23,0.658407169,15,5.16,4.415201015,1,15
Mahla and Mlambo 2019. Tropical Ecology 60: 129–139,PUB05,2019,50,CHT09,Forest,32.3348406,-20.2495169,Observational,Terrestrial,Africa,Chipinge Safari Area,Zimbabwe,Semi-arid,Table 2,Seedling density (ha?1),Plant abundance,Community,Lantana camara,Dichrostachys cinerea,Plant-Plant,Producer-Producer,15,152,185.9032006,15,147,201.395134,15,133,216.8870674,15,298,174.2842506,1,15
Mahla and Mlambo 2019. Tropical Ecology 60: 129–139,PUB05,2019,51,CHT09,Forest,32.3348406,-20.2495169,Observational,Terrestrial,Africa,Chipinge Safari Area,Zimbabwe,Semi-arid,Table 2,Species richness (plot?1),Plant richness,Community,Lantana camara,Dichrostachys cinerea,Plant-Plant,Producer-Producer,15,7.5,1.936491673,15,8.9,2.594898842,15,7.3,3.872983346,15,12.4,2.633628675,1,15
Mahla and Mlambo 2019. Tropical Ecology 60: 129–139,PUB05,2019,52,CHT09,Forest,32.3348406,-20.2495169,Observational,Terrestrial,Africa,Chipinge Safari Area,Zimbabwe,Semi-arid,Table 2,Species diversity (H´),Plant diversity,Community,Lantana camara,Dichrostachys cinerea,Plant-Plant,Producer-Producer,15,1.5,0.348568501,15,1.6,0.464758002,15,1.5,0.309838668,15,2.9,0.387298335,1,15
Mahla and Mlambo 2019. Tropical Ecology 60: 129–139,PUB05,2019,53,CHT09,Forest,32.3348406,-20.2495169,Observational,Terrestrial,Africa,Chipinge Safari Area,Zimbabwe,Semi-arid,Table 3,Soil Organic C (%),C pools,Ecosystem,Lantana camara,Dichrostachys cinerea,Plant-Plant,Producer-Producer,15,1.5,0.619677335,15,1.72,0.658407169,15,3.02,1.355544171,15,1.13,0.387298335,1,15
Mahla and Mlambo 2019. Tropical Ecology 60: 129–139,PUB05,2019,54,CHT09,Forest,32.3348406,-20.2495169,Observational,Terrestrial,Africa,Chipinge Safari Area,Zimbabwe,Semi-arid,Table 3,Soil N (%),N pools,Ecosystem,Lantana camara,Dichrostachys cinerea,Plant-Plant,Producer-Producer,15,0.51,0.503487835,15,0.62,1.316814338,15,0.87,0.542217668,15,0.28,0.077459667,1,15
Mahla and Mlambo 2019. Tropical Ecology 60: 129–139,PUB05,2019,55,CHT09,Forest,32.3348406,-20.2495169,Observational,Terrestrial,Africa,Chipinge Safari Area,Zimbabwe,Semi-arid,Table 3,Soil available P (ppm),P pools,Ecosystem,Lantana camara,Dichrostachys cinerea,Plant-Plant,Producer-Producer,15,9.4,0.968245837,15,9.7,1.316814338,15,9.1,0.929516003,15,8.9,1.278084504,1,15
Mahla and Mlambo 2019. Tropical Ecology 60: 129–139,PUB05,2019,56,CHT09,Forest,32.3348406,-20.2495169,Observational,Terrestrial,Africa,Chipinge Safari Area,Zimbabwe,Semi-arid,Table 3,Soil K (me %),Macronutrients,Ecosystem,Lantana camara,Dichrostachys cinerea,Plant-Plant,Producer-Producer,15,0.94,0.580947502,15,0.89,0.735866836,15,1.02,0.658407169,15,0.48,0.619677335,1,15
Mahla and Mlambo 2019. Tropical Ecology 60: 129–139,PUB05,2019,57,CHT09,Forest,32.3348406,-20.2495169,Observational,Terrestrial,Africa,Chipinge Safari Area,Zimbabwe,Semi-arid,Table 3,Soil pH (CaCl2),pH ,Ecosystem,Lantana camara,Dichrostachys cinerea,Plant-Plant,Producer-Producer,15,7.2,1.161895004,15,6.9,1.200624837,15,7.4,1.084435337,15,6.2,0.89078617,1,15
Mahla and Mlambo 2019. Tropical Ecology 60: 129–139,PUB05,2019,58,CHT09,Forest,32.3348406,-20.2495169,Observational,Terrestrial,Africa,Chipinge Safari Area,Zimbabwe,Semi-arid,Table 3,Soil moisture (%),Soil moisture ,Ecosystem,Lantana camara,Dichrostachys cinerea,Plant-Plant,Producer-Producer,15,7.72,3.446955178,15,8.02,3.446955178,15,7.92,3.446955178,15,12.9,3.795523679,1,15
Gao et al. 2021. Knowl. Manag. Aquat. Ecosyst. 422: 29,PUB06,2021,59,CHT10,Unknown,86.0474698,34.4140974,Experimental,Aquatic,Asia-Temperate,China,China,NA,Figure 2,leaf length of Vallisnaria,Plant growth,Species,Pomacea canaliculata,Procambarus clarkii,Animal-Animal,Consumer-Consumer,4,9.01,2.15,4,36.78,2.05,4,10.08,1.88,4,46.7,4.3,1,4
Gao et al. 2021. Knowl. Manag. Aquat. Ecosyst. 422: 29,PUB06,2021,60,CHT10,Unknown,86.0474698,34.4140974,Experimental,Aquatic,Asia-Temperate,China,China,NA,Figure 2,Biomass of Vallisnaria,Plant growth,Species,Pomacea canaliculata,Procambarus clarkii,Animal-Animal,Consumer-Consumer,4,167.86,28.57,4,639.29,35.71,4,158.9,32.1,4,855.36,100,1,4
Gao et al. 2021. Knowl. Manag. Aquat. Ecosyst. 422: 29,PUB06,2021,61,CHT10,Unknown,86.0474698,34.4140974,Experimental,Aquatic,Asia-Temperate,China,China,NA,Figure 2,Number of Vallisnaria,Plant abundance,Community,Pomacea canaliculata,Procambarus clarkii,Animal-Animal,Consumer-Consumer,4,36.77,2.08,4,46.14,1.25,4,27.08,5.31,4,58.12,3.33,1,4
Fryxell et al. 2016. Oecologia 182: 519–528,PUB07,2016,62,CHT11,Unknown,86.0474698,34.4140974,Experimental,Aquatic,Northern America,"Long Marine Laboratory in Santa Cruz, California, USA",USA,NA,Figure 1c,Conductivity (mS/cm),Salinity,Ecosystem,Gambusia affinis,Procambarus clarkii,Animal-Animal,Consumer-Consumer,9,0.538,0.015,7,0.567,0.010583005,9,0.556,0.012,9,0.555,0.012,1,9
Fryxell et al. 2016. Oecologia 182: 519–528,PUB07,2016,63,CHT11,Unknown,86.0474698,34.4140974,Experimental,Aquatic,Northern America,"Long Marine Laboratory in Santa Cruz, California, USA",USA,NA,Figure 1d,pH,pH ,Ecosystem,Gambusia affinis,Procambarus clarkii,Animal-Animal,Consumer-Consumer,9,8.6,0.12,9,8.82,0.21,9,8.59,0.12,9,8.65,0.09,1,9
